Date,Country,Value,Series
1914-01-01,US,-0.6733330179899134,Levels
1914-04-01,US,-0.1372848137670477,Levels
1914-07-01,US,0.4191021219442131,Levels
1914-10-01,US,1.0278136068680177,Levels
1915-01-01,CA,0.5318718808733628,Levels
1915-01-01,US,1.7367790208803122,Levels
1915-04-01,CA,2.1962447139305437,Levels
1915-04-01,US,2.593616630482832,Levels
1915-07-01,CA,3.871965401025294,Levels
1915-07-01,US,3.6352771921294194,Levels
1915-10-01,CA,5.570829835994111,Levels
1915-10-01,US,4.8930458587992005,Levels
1916-01-01,CA,7.2883247456014715,Levels
1916-01-01,GB,19.32222982904141,Levels
1916-01-01,US,0.02,Detrended
1916-01-01,US,6.358652389126093,Levels
1916-04-01,CA,8.986086488009143,Levels
1916-04-01,GB,20.1276185558102,Levels
1916-04-01,US,0.06,Detrended
1916-04-01,US,7.988065081145842,Levels
1916-07-01,CA,10.612977512576762,Levels
1916-07-01,GB,20.926642603285217,Levels
1916-07-01,US,-0.02,Detrended
1916-07-01,US,9.717102088704133,Levels
1916-10-01,CA,12.099037643673391,Levels
1916-10-01,GB,21.664544790047806,Levels
1916-10-01,US,0.08,Detrended
1916-10-01,US,11.464605368752222,Levels
1917-01-01,CA,0.16,Detrended
1917-01-01,CA,13.361073036546086,Levels
1917-01-01,GB,22.242865395691293,Levels
1917-01-01,US,0.15,Detrended
1917-01-01,US,13.13475417800733,Levels
1917-04-01,CA,0.2,Detrended
1917-04-01,CA,14.328562413597911,Levels
1917-04-01,GB,22.564532678743124,Levels
1917-04-01,US,0.19,Detrended
1917-04-01,US,14.633935666145563,Levels
1917-07-01,CA,0.23,Detrended
1917-07-01,CA,14.952021119421842,Levels
1917-07-01,GB,22.586858284350917,Levels
1917-07-01,US,0.21,Detrended
1917-07-01,US,15.877757141155401,Levels
1917-10-01,CA,0.2,Detrended
1917-10-01,CA,15.237591102936022,Levels
1917-10-01,GB,22.32964307205504,Levels
1917-10-01,US,0.19,Detrended
1917-10-01,US,16.83170129978776,Levels
1918-01-01,CA,0.15,Detrended
1918-01-01,CA,15.242131842749421,Levels
1918-01-01,GB,0.2,Detrended
1918-01-01,GB,21.871093456148703,Levels
1918-01-01,US,0.21,Detrended
1918-01-01,US,17.494487931053925,Levels
1918-04-01,CA,0.2,Detrended
1918-04-01,CA,15.035497973794556,Levels
1918-04-01,GB,0.24,Detrended
1918-04-01,GB,21.239286780874497,Levels
1918-04-01,US,0.19,Detrended
1918-04-01,US,17.879732290810196,Levels
1918-07-01,CA,0.2,Detrended
1918-07-01,CA,14.673577125743678,Levels
1918-07-01,GB,0.25,Detrended
1918-07-01,GB,20.4043662076995,Levels
1918-07-01,US,0.23,Detrended
