country,date,statement
Peru,2005-01-06,"Press Release MONETARY PROGRAM FOR JANUARY 2005 CENTRAL BANK KEPT REFERENCE INTEREST RATE AT 3.00% As of December 2004, the cumulative year inflation was 3.48 percent, thus achieving the annual inflation target for the third consecutive year, as the inflation was located inside the target range (2.5 percent with a rank of tolerance of a percentage point up or downward). In turn, the Core inflation was 2.63 percent in the 2004. In December, the Consumer Price Index of Metropolitan Lima (CPI) diminished 0.01 percent due mainly to the reduction in the price of the food (-0.2 percentage points), fuels (-0.3 percentage points) and telephone rates (-1.9 percentage points). Transitorily between June and November 2004, 12-month inflation was above the upper limit of the target range (3.5 percent) mainly due to supply shocks in food and fuels. In this period, the Central Bank increased in two opportunities the reference interest rate (August and October), passing from 2.5 to 3.0 percent in a preventive way to guarantee the convergence of the inflation toward the goal. The partial reversion of these shocks and the appreciation of the Nuevo Sol have influenced in the convergence of the inflation toward the upper limit of the goal in the 2004, according to the Inflation Report of August. Likewise, the projections of the last report of August with respect to the evolution of the inflation in the 2005, are maintained. That is, it is expected the continuity of the shocks reversion in the 2005, so the inflation will converge toward the target level (2.5 percent). The Board of the Central Bank approved to kept the reference interest rates of the monetary operations: The monetary operations regarding injection and withdrawal of liquidity by means of auctions will be made in order to place the interbank interest rate around the center of the corridor set by the reference interest rates (3.00 percent). For direct repos and monetary regulation credits, the rate is kept at 3.75 percent. For overnight deposits, the rate is maintained at 2.25 percent. In case of the interbank interest rate be higher than 3.75 percent, monetary regulation credits and direct repos will be charged with the market interbank interest rate.For January, the forecasted range for the daily average balance of banks' deposits held at BCRP is 240 - 260 million. This average balance is neither a target nor a monetary policy stance indicator, since it also reflects, among others, seasonal factors as well as liquidity demand changes. The interest rates for Central Bank's operations in dollars are: Monetary regulation credits: 1-month LIBOR plus one percentage point. Overnight deposits: an interest rate equivalent to the rate for similar BCRP's deposits held abroad. Swaps: the commission is maintained to a level that implies a minimum annual effective cost of 3.75 percent. The chronogram of the 2005 sessions in which the Board will approve the Monthly Monetary Program is the following: February 3th March 3th April 7th May 5th June 2rd July 7th August 4th September 1th October 6th November 3th December 1th The Central Bank will issue its Inflation Report in the following dates: February 4th June 3th September 2th."
Chile,2005-01-11,"The Central Bank of Chile Press Release* 11 January 2005 In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided, by unanimous vote, to increase the monetary policy interest rate by 25 basis points to 2.5% (annual). The information available shows that the main trends identified in recent months have continued: subdued inflation and increasingly dynamic output. With a world economy that continues to be favorable, and markedly expansionary monetary conditions, domestic activity and spending maintain a strong growth rate. Investment and exports continue to grow at high rates, employment and the labor force have consolidated their dynamism, and private expectations are optimistic. Inflationary pressures arising from this scenario of closing output gaps make it necessary to continue with the normalization of the monetary impulse. Beyond the short-run effects of fuel prices volatility, inflation has increased slowly, particularly core measures (that exclude some goods with more volatile prices). Costs, particularly labor costs, have kept their mild increase, which has contributed to keep inflation levels low. This has favored the gradual reduction in the monetary stimulus. The Board reiterates that, in the most likely scenario, it will continue to reduce the marked monetary impulse at a measured pace, in order to maintain annual expected inflation centered around 3% in the usual policy horizon of 12 to 24 months. In case of any discrepancy or difference in interpretation, the Spanish original prevails."
Philippines,2005-01-12,"At its meeting today, the Monetary Board decided to keep the BSP's key policy interest rates unchanged at 6.75 percent for the overnight borrowing or reverse repurchase (RRP) rate and 9.0 percent for the overnight lending or repurchase (RP) rate. The Monetary Board believes that the outlook for inflation and other economic evidence continue to support the argument for keeping present policy settings unchanged. It noted that while current inflation is on the rise, future inflation is likely to be on a downtrend, due mainly to easing conditions in the world oil market. BSP forecasts indicate that this year's average inflation (using the 2000 CPI-based series) will exceed the 4.0-5.0 percent full-year target, with monthly inflation expected to begin its downtrend at the end of the first quarter and reach 5.0 percent by the fourth quarter of the year. Inflation is then seen to stabilize within the target range of 4.0-5.0 percent throughout 2006. The Monetary Board also noted that the expected path of inflation continues to be driven mainly by supply-side pressures, the direct effects of which cannot be addressed appropriately by monetary policy. These pressures, the authorities believe, are best addressed by non-monetary intervention that would facilitate production, timely importation, distribution, and delivery of key commodities. Accordingly, the BSP continues to articulate its support for the efforts of concerned government agencies against supply-side risks to prices. These include, among other things, the intervention measures of the Department of Agriculture to enhance agricultural production and rehabilitate typhoon-damaged areas, which would help ensure adequate food supply and temper food price increases. At the same time, the Monetary Board acknowledges that the growth in domestic demand, as evidenced by the strong growth in consumption spending and merchandise trade, continues to be accompanied by indications of slack in the economy, particularly in terms of unemployment and lending activity. The outlook for economic activity is also partly dampened by evidence of reduced business and consumer optimism (as shown in the latest Business and Consumer Expectations Surveys by the BSP), as well as slower global economic activity. The chief risk to output conditions, therefore, is that of a slower pace of activity, particularly in view of the output effects of recent weather disturbances and natural calamities. On the other hand, the exchange rate is considered to be broadly stable and prevailing interest rate differentials (between the Philippine 91-day T-bill rate and the US 90-day T-bill and 90-day LIBOR rates) comfortable enough not to feed significantly into inflation and inflation expectations. Given such conditions, the Monetary Board concluded that the appropriate course of action would be to leave the present settings for monetary policy unchanged. However, the Monetary Board remains firmly committed to minimizing the unfavorable effects of ongoing supply shocks on inflation and economic growth, and therefore reasserts its continued readiness to act in order to prevent these supply shocks from having second-round effects on the public's inflation expectations and on wage and price-setting behavior. At the same time, the Monetary Board also continues to voice its support for government intervention measures to quell the supply-side risks to prices."
Euroarea,2005-01-13,"Ladies and gentlemen, the Vice-President and I would like to welcome you to the first press conference of 2005 and extend our best wishes to you for the new year. Let me also take this opportunity to say that all our thoughts are with the victims of the recent flood disaster and with their families in the countries concerned and around the world. I will now report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by Mr Juncker, in his joint capacity as President of the ECOFIN Council and of the Eurogroup, and Mr Barroso. President of the European Commission. While short-term inflationary pressures persist, they have recently diminished somewhat, mainly due to the decline in oil prices from the peaks seen in October. At the same time, there is currently no significant evidence that underlying domestic inflationary pressures are building up in the euro area. Accordingly, we have left the key ECB interest rates unchanged at their historically low levels. However, upside risks to price stability over the medium term remain, and continued vigilance is of the essence with regard to those risks. I shall now explain our assessment in more detail, turning first to the economic analysis. Eurostat yesterday released a new estimate for real GDP growth in the third quarter. At 0.3% quarter on quarter, it confirmed the previous estimate. While information on the fourth quarter is still incomplete, the latest macroeconomic data and survey evidence, although mixed, appear to suggest ongoing moderate growth. Looking ahead, the conditions remain in place for economic growth to proceed. On the external side, global growth is expected to remain robust. The strength of global demand should help to sustain euro area exports. On the domestic side, investment should be supported by the very favourable financing conditions in the euro area, improved corporate earnings and greater business efficiency as firms continue to restructure. Moreover, private consumption is likely to evolve in line with the development of real disposable income. Consumption would also be supported if uncertainties surrounding the extent and pace of fiscal consolidation and structural reform in the euro area were reduced. Downside risks to the economic outlook stemming from oil price developments have diminished somewhat over recent weeks. As regards exchange rates, we confirm our position, expressed when the euro rose sharply, that such moves are unwelcome and undesirable for economic growth. Turning to prices, annual HICP inflation was 2.3% in December according to Eurostat's flash estimate, up from 2.2% in November. Annual HICP inflation rates of above 2% are likely to persist over the coming months, notwithstanding the recent oil price decline. Looking further ahead, however, the available information indicates that, barring further adverse shocks. HICP inflation will fall below 2% in the course of 2005. Moreover, the latest indicators do not suggest that underlying domestic inflationary pressures are building up in the euro area. Wage increases remain contained, against the background of ongoing moderate economic growth and weak labour markets. In the context of what is a broadly favourable outlook for price developments over the medium term, upside risks to price stability need to be taken into account. Given past oil price rises, there is a continued need to avoid second-round effects in wage and price-setting throughout the economy. Responsibility on the part of social partners remains very important. Moreover, developments in indirect taxes and administered prices require close monitoring. Turning to the monetary analysis, the latest data confirm our previous assessment. Monetary and credit growth strengthened in the second half of 2004, largely as a consequence of the prevailing low level of interest rates. Given the strength of monetary dynamics over the past few years, there remains significantly more liquidity in the euro area than is required to finance non-inflationary growth. Overall, the monetary analysis points to upside risks to price stability over the medium to longer term. At the same time, the combination of high excess liquidity and strong credit growth could in some countries become a source of unsustainable price increases in property markets. To sum up, the economic analysis suggests that underlying domestic inflationary pressures are contained but upside risks to price stability over the medium term need to be monitored closely. In this context, it is crucial that there is no spillover from current short-term developments in consumer price inflation to long-term inflation expectations. Cross-checking with the monetary analysis supports the case for continued vigilance with regard to the materialisation of risks to price stability over the medium term. With regard to both fiscal policies and structural reforms, the governments and institutions of the European Union will have to confront many important challenges in the course of 2005. Foremost among these challenges is the need to strengthen public finances by correcting excessive deficits swiftly and returning to a path of vigorous fiscal consolidation. Moreover, throughout the European Union there is a need to address the considerable challenges that population ageing poses to existing pension and social security systems. There is also a need to now bring the ongoing discussions surrounding the European fiscal framework to a convincing conclusion which builds trust and confidence. The existing fiscal framework enshrined in the Treaty and the Stability and Growth Pact is a cornerstone of Economic and Monetary Union and thus of central importance for anchoring expectations of fiscal discipline. The Governing Council is convinced that improvements in the implementation of the Pact are possible. At the same time, it reiterates its position that it would be counterproductive to change the Regulations, dilute the 3% deficit limit or weaken the excessive deficit procedure. Turning to structural policies, the forthcoming mid-term review of the Lisbon agenda provides an opportunity to give renewed impetus to structural reform in the euro area, as called for by the recently published Kok Report. We strongly support a reform agenda which focuses on raising employment growth, fostering investment and stimulating innovation and productivity. Progress in this direction will not only enhance the underlying growth potential of the euro area economy over the medium term, but will also help to bolster consumer and business confidence over a shorter horizon."
South Korea,2005-01-13,"The bank of korea. The Bank of Korea. Monetary Policy Decision. The Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (3.25%) for the intermeeting period. (An unofficial English translation based on the Korean original of the decision on monetary policy taken by the Monetary Policy Committee on January 13, 2005 is attached). In the real economy, private consumption and facilities investment remain sluggish and construction investment shows a slowdown in its pace of expansion, whereas exports continue to exhibit steady growth. Meanwhile, the current account sustains a surplus, thanks to that on the goods account. Both core inflation and consumer price inflation are maintaining their overall stability, as upward pressure has been subdued reflecting lackluster domestic demand. The medium-term evolution of price movements, however, still calls for caution when considering the uncertainty over the development of oil prices and the possible further upward adjustment of charges for some public goods and services. In the financial markets, overall liquidity conditions are favorable, yet the lending activities of financial institutions including loans to small- and medium-sized enterprises have been persistently constrained by their acute sensitivity to credit risk. Taking the above economic and financial conditions into consideration, the Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (3.25 percent) for the intermeeting period. In the real economy, private consumption and facilities investment remain sluggish and construction investment shows a slowdown in its pace of expansion, whereas exports continue to exhibit steady growth. Meanwhile, the current account sustains a surplus, thanks to that on the goods account. Both core inflation and consumer price inflation are maintaining their overall stability, as upward pressure has been subdued reflecting lackluster domestic demand. The medium-term evolution of price movements, however, still calls for caution when considering the uncertainty over the development of oil prices and the possible further upward adjustment of charges for some public goods and services. In the financial markets, overall liquidity conditions are favorable, yet the lending activities of financial institutions including loans to small- and medium-sized enterprises have been persistently constrained by their acute sensitivity to credit risk. Taking the above economic and financial conditions into consideration, the Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (3.25 percent) for the intermeeting period."
Romania,2005-01-17,"In its meeting of 14-15 January 2005, the NBR Board made an overview of the latest macroeconomic developments and their prospects for 2005. Following the slowdown in the rate of increase of consumer prices over the past two months, the 12-month inflation rate plunged to 9.3 percent in December, close to the inflation target for 2004. Against this backdrop, the short-term inflation projection was revised in order to incorporate the effects of the change in some assumptions regarding administered price adjustment, exchange-rate movements and larger disposable income in the wake of the alteration of tax rates. The NBR Board decided to lower the policy rate by half of a percentage point to 16.5 percent considering the step-up in disinflation over the recent months. Thus, in the last 12 months, policy rate was cut by 4.75 percentage points whilst inflation rate dropped by 4.80 percentage points. Moreover, the NBR Board decided to reduce the interest rate on lending facility (Lombard rate) from 30 percent to 25 percent and to leave the interest rate on deposit facility unchanged at 5 percent. The interest paid on ROL-denominated required reserves established by credit institutions is cut from 6 percent to 4 percent and the penalty rate on deficit reserves is down from 45 percent to 37 percent. As the recent developments and the outlook for demand-pull inflation and cost-push inflation reveal the risk of inflationary pressures, the NBR Board decided to maintain a cautious monetary policy stance in order to meet the inflation targets, including those on a longer time horizon, amid the preparations for shifting to inflation targeting."
Thailand,2005-01-19,"Monetary Policy Committee's Decision on 19 January 2005 Ms. Atchana Waiquamdee. Assistant Governor of the Monetary Policy Group. Bank of Thailand, announced that the Monetary Policy Committee (MPC) met today to assess the latest economic developments and trends in order to determine the appropriate monetary policy stance going forward. The main issues discussed were as follows: 1. Latest data indicated that the Thai economy expanded in the first 11 months at a satisfactory rate, supported by growth in exports, domestic spending, as well as government stimulus measures. Nevertheless the MPC was of the view that consumer spending could be dampened by the tsunami disaster and the resultant decline in tourism receipts, although these negative effects should be offset, to some degree, by greater investment and public spending. With respect to economic stability, headline inflation fell slightly in December as a result of lower oil prices and the appreciation of the Thai baht, but nonetheless remained high at 29 per cent year-on-year. Core inflation remained subdued at 06 per cent year-on-year in December while external stability continued to be strong with the current account expected to register a surplus for 2004 as well as this year. The MPC was of the view that sustained negative real deposit rates may discourage domestic saving and raise household debt. As such, the current low interest rate level should be gradually returned to neutral going forward. Nevertheless the potential impact on the Thai economy from the occurrence of the natural disaster, volatility in currency markets, and continued high oil prices, remained uncertain and the MPC agreed that it was important to wait for a clearer picture to develop. The MPC therefore decided to maintain the 14-day repurchase at 2 per cent per annum."
Nigeria,2005-01-20,"PRESS RELEASE CENTRAL BANK OF NIGERIA COMMUNIQUE NO. 42 OF THE MONETARY POLICY COMMITTEE. IN JANUARY, 2005 The Monetary Policy Committee met for two days, 24th and 25th January, 2005, to review the macroeconomic performance in 2004 and the way forward. At the end of the meeting the MPC expressed general satisfaction on the economic achievements recorded in 2004. To sustain the gains of 2004, the Committee agreed to adopt policy measures that would ensure continued price stability and non inflationary growth. Provisional data showed that the real GDP grew by about 55 per cent. This was higher than the 50 per cent target set under the NEEDS programme for 2004. The year- on-year inflation rate was 95 per cent at end-December 2004, representing a significant deceleration from the 238 per cent recorded at end-December 2003. The 12 months moving average inflation, however, moved from 140 per cent at the end of 2003 to 150 per cent at end-2004. The good macroeconomic outturn was due to the effective implementation of an appropriate mix of monetary and fiscal polices. For the first time in almost two decades, the CBN met the target on broad money supply (M2). The M2 rose by 152 per cent at the end of 2004 against the target of 150 percent under the NEEDS. Also, following the prudent fiscal operations of the Federal Government, the fiscal deficit /GDP ratio improved from the target of 30 per cent under NEEDS to about 21 (cash basis). The stock of external reserves for the year ended December 2004 was US$169 billion, compared with the target of US$768 billion. The naira exchange rate was N13285=US$100 at end-December 2004, representing a nominal appreciation of about 30 per cent when compared with the rate of N1370 to US $100 in January 2004. The Committee, however, noted with concern the amount of the proposed budget deficit for 2005, the bulk of which would be financed through the savings from the 2004 windfall crude oil receipts. In order to sustain and improve on the economic gains which were achieved in 2004, the Committee agreed to adopt the following policy measures in addition to the open market operations: ⇒ Withdrawal/re-injection of public sector deposits to address the problem of excess liquidity in the banking system; ⇒ Reduction of the MRR by 200 basis points, in order to reduce the cost of private sector borrowing for productive investment; ⇒ Adoption of two weeks maintenance period for the CRR; and ⇒ Adoption of an exchange rate band of plus/minus 30 per cent, to sustain exchange rate stability, anchor expectations and minimize transaction costs. The Committee also agreed to review the effectiveness or otherwise of the above instruments on quarterly basis. James K Olekah Secretary. Monetary Policy Committee. Central Bank of Nigeria. Abuja."
Hungary,2005-01-24,"1. At its meeting on 24 January 2005, the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by 50 basis points, from 9.50% to 9.00%, with effect from 25 January 2005. After reviewing macroeconomic data released in recent months, the Monetary Council judged that the favourable inflation trend which emerged towards the end of last year, outperforming even earlier expectations, would be likely to continue over the period ahead. The decline in inflation and nominal wages in 2004 H1 suggests that the risk of inflation expectations remaining persistent at a high level has diminished. Improvement in the outlook for inflation has made a case for a reduction in the Bank's key policy rate. However. Hungary's equilibrium position and the market's attitude to it require maintaining a cautious approach to interest rate policy. Although the investment climate worldwide continues to be favourable, domestic financial markets have recently showed signs of uncertainty, to which the Monetary Council will continue to pay close attention in taking its decisions. The decline in the rate of consumer price inflation continued in December. That also affected core inflation, being crucial in the assessment of longer-term trends. A number of factors which monetary policy controls have contributed to the latest interest rate reduction. This is evidence that last year's predictable interest rate policy and the stable exchange rate have proved successful in reining in price rises caused by the increases in indirect taxes. In the Monetary Council's view, there is a possibility that inflation will return to its level in the period before the tax hikes and, therefore, the Council does not perceive any considerable risk of inflation rising above the 4% and 3.5% inflation targets set for end-2005 ands end-2006 respectively. Last year, the primary focus of the Bank's interest rate policy was to prevent the indirect increases in taxes from causing a lasting rise in inflation. Wage growth in 2004 H1 was slowing steadily. But November's data on private sector wage growth warrants caution. The recent modest increase in wages suggests that the rise in inflation expectations has not been sustained. Consequently, disinflation is expected to continue this year. According to the latest data, the economic upturn has continued. In particular, export and output figures have reinforced the view that corporate business activity picked up towards end-2004. Although household demand rose more slowly in 2004 than in previous years, its growth rate exceeded earlier expectations. The favourable foreign trade data have slightly reduced the risks to external equilibrium; however, the current account deficit is estimated to have amounted to nearly 9 per cent as a proportion of GDP. Reducing Hungary's external imbalance requires lowering the general government deficit substantially. Transitory measures played a major part in the 2004 deficit outcome. At this juncture, therefore, there are few signs of a fiscal consolidation programme which would be consistent with the convergence programme and would satisfy financial markets, rating agencies and Hungary's European partners. The global investment climate continues to be favourable, although it also carries significant risks. However, due to the domestic equilibrium problems, foreign demand for forint-denominated investments has recently been modest, despite international investors' continued robust willingness to take risks. Taking into account the above factors, with the current 50 basis point reduction in the base rate the interest rate spread has come near to a level which will require the Council to take a cautious policy approach in the future, given the risks outlined above. 2. The Minutes of the Council's meeting will be published on 11 February 2005. 3. Inflation in December 2004, at 5.5%, was higher than the MNB's inflation target, which it had set at 3.5±1% in October 2002, consistent with the Government's Medium-Term Economic Policy Programme. This difference was due mainly to the increase in indirect taxes, announced by the Government in mid-2003 and implemented in early 2004. Excluding the effect of indirect tax hikes, inflation would have remained in the target range. Following the announcement of tax increases, the Monetary Council reassessed the inflation target and decided not to counterbalance the direct inflationary impact of the tax measures. The Council's objective with the decision was to prevent higher inflation from feeding through to inflation expectations and to ensure that the increase in prices remain temporary, which it stressed regularly in its communications. Although greater certainty will be provided on the issue in the course of the year, inflation and wage developments as well as surveys of inflation expectations suggest that last year's excess inflation has not led to persistently high inflation expectations. 4. At its meeting, the Council also discussed the conceptual framework for the Quarterly Report on Inflation, to be issued on 21 February."
Israel,2005-01-24,"24.1.2005 The Bank of Israel's Monetary Program for February 2005 The Bank ofIsrael today announced that in the context of its monetary program for February 2005 the interest rate will be reduced by 0.2 of a percentage point, to 3.5 percent. The decision to lower the interest rate is based on the combination of developments in the economy that still make it possible under the current circumstances to cut the interest rate, following the reductionsmade in the last two months, although leaving less and less room to maneuver. The Bank of Israel's policy of maintaining price stability at the lowest possible short-term interest rate, against the background of the economy's financial stability, supports the long term recovery of real activity. The developments underlying the decision to cut the interest rate include assessments regarding continued price stability, the calm and stability in the financial markets, and developments in the labor market. Assessmentsof expected inflation for one and two years ahead as reflected in capital-market data and in the assessments of private forecasters still come within the government's target of price stability, i.e., between 1 percent and 3 percent a year long term, but at this stage they are in the lower part of the range. In the foreign currency market the exchange rate has remained relatively stable for some time, and bid-offer spreads remain low. Israel's country risk premiums, as reflected by the financial markets, have been at a low level for some time and recently Israel's rating outlook has improved too. In this context it is noteworthy that the contraction of the interest-rate differential between the NIS and the dollar has continued without so far being reflected by the exchange rate, which is affected mainly by the conduct of the dollar world wide. At the same time the volatility of the exchange rate on the domestic market is lower than that of the global markets. It is also worth noting that for quite a while the economy has benefited from relatively large long-term-capital inflow. The yield on one-year Treasury bills is currently at a low level of about 4.2 percent after falling from its level in May 2004 of 5.2 percent. The yields on Treasury bills with different maturities, which have also shown a downward trend, indicate that despite the narrowing of the interest-rate differentials between the NIS and the dollar, the capital market expects short-term nominal rates of return to rise to some extent, but in the longer term. The downward trend in yields on government bonds also persists. Thus, the yield on unindexed 10-year government (Shahar) bonds went down from 7.9 percent in May 2004 to its current level of less than 7 percent, and in the same period the real yield on indexed 10-year government (Galil) bonds declined from 4.4 percent to below 4 percent. This continued decline in long-term yields isan indication of the public's confidence in the government's ability to continue to adhere to the long-term budget framework it set, following its success in doing so in 2004. In this context the great importance of the Knesset's approval of the 2005 budget along the lines confirmed by the government must be stressed yet again; this would remove the remaining uncertainty in this area. There has been steady improvement in the unemployment rate, but it is still relativelyhigh. Thus, in the light of the continued improvement in labor productivity, the business-sector wage is not expected to exert inflationary pressure. The backdrop to this is the continued recovery in real activity, which also does not threaten upward pressure on prices in the near future. The risk premium, as measured by the 5-year credit-default-swap (CDS) market went up to about 43 basis points from about 41 basis points a month earlier.</td> c The yield spread between 10-year Shahar bonds and 10-year US government bonds.</td> d The Open Market Committee of the US Federal Reserve is due to convene on February 2 nd 2005 for its regular review of interest-rate policy. The real rate of interest is the effective rate of interest less inflation expectations derived from the capital market. Table 3: Central-Bank Interest Rates in Several Countries. January 2005 (Percent) Advancedcountries Interest rate (percent) Japan 0.00 Switzerland 0.75 US 2.25 Norway 1.75 ECB 2.00 Canada 2.50 Sweden 2.00 Denmark 2.15 UK 4.75 Australia 5.25 New Zealand 6.25 Emerging markets Thailand 2.00 Taiwan 1.75 Chile 2.50 Korea 3.25 Israel 1 3.50 Mexico 8.50 South Africa 7.50 Brazil 18.25 Turkey 17.00 Other developing countries Czech Republic 2.50 Poland 6.50 Hungary 9.50 1 Israel's interest rate relates to February 2005. 24.1.2005 The Bank of Israel's Monetary Program for February 2005. The Bank of Israel's Monetary Program for February 2005. The Bank ofIsrael today announced that in the context of its monetary program for February 2005 the interest rate will be reduced by 0.2 of a percentage point, to 3.5 percent. Table 1: Interest Rates in Israel and the US (Percent). Central banks' interest rates Yield spread between US and Israel 10-year govt. bondsc. Israel US Differential between central banks' interest ratesb. End of year ChangeInterest ratea ChangeInterest rate. Monthly data. The rate of interest set in the previous month's monetary program for the month indicated in the table. The risk premium, as measured by the 5-year credit-default-swap (CDS) market went up to about 43 basis points from about 41 basis points a month earlier.</td>. The yield spread between 10-year Shahar bonds and 10-year US government bonds.</td>. The Open Market Committee of the US Federal Reserve is due to convene on February 2 nd 2005 for its regular review of interest-rate policy. Table 2: The Bank of Israel Real Rate of Interest, the Nominal Yield on Treasury Bills and on Unindexed Government Bonds, and the Real Yield on CPI-Indexed Government Bonds (monthly average, percent). Bank of Israel rate of Interest Yield on 12 month Treasury bills Real yield on CPI- indexed 10- year bonds Yield on unindexed 10- year bonds. Headline rate (simple)a Effectiveb Realc. February</td> 3.5. Announced interest rate in simple annual terms (excluding compound interest). Calculatedas the daily compound interest rate, based on the interbank rate (see explanation in BOI no. 2, p. 17). Calculatedas the daily compound interest rate, based on the interbank rate (see explanation in BOI. Table 3: Central-Bank Interest Rates in Several Countries. January 2005 (Percent). Advancedcountries Interest rate (percent) Japan 0.00 Switzerland 0.75 US 2.25 Norway 1.75 ECB 2.00 Canada 2.50 Sweden 2.00 Denmark 2.15 UK 4.75 Australia 5.25 New Zealand 6.25 Emerging markets Thailand 2.00 Taiwan 1.75 Chile 2.50 Korea 3.25 Israel 1 3.50 Mexico 8.50 South Africa 7.50 Brazil 18.25 Turkey 17.00 Other developing countries Czech Republic 2.50 Poland 6.50 Hungary 9.50. Advancedcountries Interest rate (percent). Switzerland 0.75. New Zealand 6.25. Emerging markets. South Africa 7.50. Other developing countries. Czech Republic 2.50. 1 Israel's interest rate relates to February 2005."
